sid,hemi,min_eccen,max_eccen,delta_angle,meridian,label,surface_area_mm2
100610,rh,1.0,6.0,10,vertical,V2d,141.53414916992188
100610,rh,1.0,6.0,10,vertical,V2v,0.0
100610,rh,1.0,6.0,20,horizontal,V1d,416.2044982910156
100610,rh,1.0,6.0,20,horizontal,V1v,246.83114624023438
100610,rh,1.0,6.0,20,vertical,V1d,216.23825073242188
100610,rh,1.0,6.0,20,vertical,V1v,76.42765808105469
100610,rh,1.0,6.0,20,vertical,V2d,159.01889038085938
100610,rh,1.0,6.0,20,vertical,V2v,49.91389465332031
100610,rh,1.0,6.0,30,horizontal,V1d,531.9351806640625
100610,rh,1.0,6.0,30,horizontal,V1v,299.34197998046875
100610,rh,1.0,6.0,30,vertical,V1d,266.95477294921875
100610,rh,1.0,6.0,30,vertical,V1v,151.9503173828125
100610,rh,1.0,6.0,30,vertical,V2d,187.0235595703125
100610,rh,1.0,6.0,30,vertical,V2v,83.65332794189453
100610,rh,1.0,6.0,40,horizontal,V1d,567.932861328125
100610,rh,1.0,6.0,40,horizontal,V1v,372.3701171875
100610,rh,1.0,6.0,40,vertical,V1d,376.13897705078125
100610,rh,1.0,6.0,40,vertical,V1v,162.09986877441406
100610,rh,1.0,6.0,40,vertical,V2d,279.3627624511719
100610,rh,1.0,6.0,40,vertical,V2v,124.09091186523438
100610,rh,1.0,6.0,50,horizontal,V1d,620.4756469726562
100610,rh,1.0,6.0,50,horizontal,V1v,414.6059875488281
100610,rh,1.0,6.0,50,vertical,V1d,408.9852600097656
100610,rh,1.0,6.0,50,vertical,V1v,223.91033935546875
100610,rh,1.0,6.0,50,vertical,V2d,361.3345642089844
100610,rh,1.0,6.0,50,vertical,V2v,174.8957977294922
100610,rh,3.5,7.0,10,horizontal,V1d,343.8055419921875
100610,rh,3.5,7.0,10,horizontal,V1v,108.57646942138672
100610,rh,3.5,7.0,10,vertical,V1d,124.07636260986328
100610,rh,3.5,7.0,10,vertical,V1v,27.64958953857422
100610,rh,3.5,7.0,10,vertical,V2d,0.0
100610,rh,3.5,7.0,10,vertical,V2v,0.0
100610,rh,3.5,7.0,20,horizontal,V1d,268.77093505859375
100610,rh,3.5,7.0,20,horizontal,V1v,160.6546173095703
100610,rh,3.5,7.0,20,vertical,V1d,137.52757263183594
100610,rh,3.5,7.0,20,vertical,V1v,42.87736892700195
100610,rh,3.5,7.0,20,vertical,V2d,50.98809051513672
100610,rh,3.5,7.0,20,vertical,V2v,11.778793334960938
100610,rh,3.5,7.0,30,horizontal,V1d,289.1935729980469
100610,rh,3.5,7.0,30,horizontal,V1v,168.59588623046875
100610,rh,3.5,7.0,30,vertical,V1d,152.703125
100610,rh,3.5,7.0,30,vertical,V1v,87.42151641845703
100610,rh,3.5,7.0,30,vertical,V2d,59.28090286254883
100610,rh,3.5,7.0,30,vertical,V2v,33.097747802734375
100610,rh,3.5,7.0,40,horizontal,V1d,298.1220703125
100610,rh,3.5,7.0,40,horizontal,V1v,192.04678344726562
100610,rh,3.5,7.0,40,vertical,V1d,200.29730224609375
100610,rh,3.5,7.0,40,vertical,V1v,136.53216552734375
100610,rh,3.5,7.0,40,vertical,V2d,135.0546875
100610,rh,3.5,7.0,40,vertical,V2v,47.88813018798828
100610,rh,3.5,7.0,50,horizontal,V1d,312.4059143066406
100610,rh,3.5,7.0,50,horizontal,V1v,208.92591857910156
100610,rh,3.5,7.0,50,vertical,V1d,209.658935546875
100610,rh,3.5,7.0,50,vertical,V1v,150.3025665283203
100610,rh,3.5,7.0,50,vertical,V2d,184.40158081054688
100610,rh,3.5,7.0,50,vertical,V2v,76.49968719482422
102311,lh,0.0,3.5,10,horizontal,V1d,65.60467529296875
102311,lh,0.0,3.5,10,horizontal,V1v,110.75984191894531
102311,lh,0.0,3.5,10,vertical,V1d,111.49248504638672
102311,lh,0.0,3.5,10,vertical,V1v,117.85165405273438
102311,lh,0.0,3.5,10,vertical,V2d,58.761653900146484
102311,lh,0.0,3.5,10,vertical,V2v,208.8258819580078
102311,lh,0.0,3.5,20,horizontal,V1d,102.58586120605469
102311,lh,0.0,3.5,20,horizontal,V1v,150.918212890625
102311,lh,0.0,3.5,20,vertical,V1d,154.72781372070312
102311,lh,0.0,3.5,20,vertical,V1v,148.3514404296875
102311,lh,0.0,3.5,20,vertical,V2d,79.25602722167969
102311,lh,0.0,3.5,20,vertical,V2v,178.8998565673828
102311,lh,0.0,3.5,30,horizontal,V1d,116.56896209716797
102311,lh,0.0,3.5,30,horizontal,V1v,147.04266357421875
102311,lh,0.0,3.5,30,vertical,V1d,169.57232666015625
102311,lh,0.0,3.5,30,vertical,V1v,136.6959228515625
102311,lh,0.0,3.5,30,vertical,V2d,158.534912109375
102311,lh,0.0,3.5,30,vertical,V2v,240.36514282226562
102311,lh,0.0,3.5,40,horizontal,V1d,137.1370849609375
102311,lh,0.0,3.5,40,horizontal,V1v,200.45233154296875
102311,lh,0.0,3.5,40,vertical,V1d,191.9461212158203
102311,lh,0.0,3.5,40,vertical,V1v,183.87600708007812
102311,lh,0.0,3.5,40,vertical,V2d,223.52032470703125
102311,lh,0.0,3.5,40,vertical,V2v,244.19760131835938
102311,lh,0.0,3.5,50,horizontal,V1d,182.08544921875
102311,lh,0.0,3.5,50,horizontal,V1v,215.6422882080078
102311,lh,0.0,3.5,50,vertical,V1d,228.93389892578125
102311,lh,0.0,3.5,50,vertical,V1v,215.56771850585938
102311,lh,0.0,3.5,50,vertical,V2d,246.8442840576172
102311,lh,0.0,3.5,50,vertical,V2v,229.52792358398438
102311,lh,1.0,6.0,10,horizontal,V1d,33.52323913574219
102311,lh,1.0,6.0,10,horizontal,V1v,133.55133056640625
102311,lh,1.0,6.0,10,vertical,V1d,100.78524017333984
102311,lh,1.0,6.0,10,vertical,V1v,87.31836700439453
102311,lh,1.0,6.0,10,vertical,V2d,64.13371276855469
102311,lh,1.0,6.0,10,vertical,V2v,124.48493957519531
102311,lh,1.0,6.0,20,horizontal,V1d,78.22714233398438
102311,lh,1.0,6.0,20,horizontal,V1v,168.9066162109375
102311,lh,1.0,6.0,20,vertical,V1d,127.16607666015625
102311,lh,1.0,6.0,20,vertical,V1v,119.03746032714844
102311,lh,1.0,6.0,20,vertical,V2d,62.78103256225586
102311,lh,1.0,6.0,20,vertical,V2v,119.35514831542969
102311,lh,1.0,6.0,30,horizontal,V1d,124.47135162353516
102311,lh,1.0,6.0,30,horizontal,V1v,216.79920959472656
102311,lh,1.0,6.0,30,vertical,V1d,142.928955078125
102311,lh,1.0,6.0,30,vertical,V1v,115.9399185180664
102311,lh,1.0,6.0,30,vertical,V2d,130.6318359375
102311,lh,1.0,6.0,30,vertical,V2v,153.41319274902344
102311,lh,1.0,6.0,40,horizontal,V1d,157.55178833007812
102311,lh,1.0,6.0,40,horizontal,V1v,298.0155029296875
102311,lh,1.0,6.0,40,vertical,V1d,239.16357421875
102311,lh,1.0,6.0,40,vertical,V1v,156.5358428955078
102311,lh,1.0,6.0,40,vertical,V2d,192.28009033203125
102311,lh,1.0,6.0,40,vertical,V2v,202.98907470703125
102311,lh,1.0,6.0,50,horizontal,V1d,284.1776123046875
102311,lh,1.0,6.0,50,horizontal,V1v,309.5338134765625
102311,lh,1.0,6.0,50,vertical,V1d,312.0760498046875
102311,lh,1.0,6.0,50,vertical,V1v,194.15089416503906
102311,lh,1.0,6.0,50,vertical,V2d,260.1945495605469
102311,lh,1.0,6.0,50,vertical,V2v,265.52471923828125
102311,lh,3.5,7.0,10,horizontal,V1d,8.636033058166504
102311,lh,3.5,7.0,10,horizontal,V1v,96.87186431884766
102311,lh,3.5,7.0,10,vertical,V1d,58.86722946166992
102311,lh,3.5,7.0,10,vertical,V1v,0.0
102311,lh,3.5,7.0,10,vertical,V2d,0.0
102311,lh,3.5,7.0,10,vertical,V2v,74.65939331054688
102311,lh,3.5,7.0,20,horizontal,V1d,24.139759063720703
102311,lh,3.5,7.0,20,horizontal,V1v,150.46438598632812
102311,lh,3.5,7.0,20,vertical,V1d,60.37744140625
102311,lh,3.5,7.0,20,vertical,V1v,0.0
102311,lh,3.5,7.0,20,vertical,V2d,40.08079528808594
102311,lh,3.5,7.0,20,vertical,V2v,52.352569580078125
102311,lh,3.5,7.0,30,horizontal,V1d,55.678871154785156
102311,lh,3.5,7.0,30,horizontal,V1v,181.64706420898438
102311,lh,3.5,7.0,30,vertical,V1d,75.05374145507812
102311,lh,3.5,7.0,30,vertical,V1v,0.0
102311,lh,3.5,7.0,30,vertical,V2d,39.15367889404297
102311,lh,3.5,7.0,30,vertical,V2v,49.81592559814453
102311,lh,3.5,7.0,40,horizontal,V1d,81.17669677734375
102311,lh,3.5,7.0,40,horizontal,V1v,229.07334899902344
102311,lh,3.5,7.0,40,vertical,V1d,146.91848754882812
102311,lh,3.5,7.0,40,vertical,V1v,14.712957382202148
102311,lh,3.5,7.0,40,vertical,V2d,61.766380310058594
102311,lh,3.5,7.0,40,vertical,V2v,12.984261512756348
102311,lh,3.5,7.0,50,horizontal,V1d,172.74087524414062
102311,lh,3.5,7.0,50,horizontal,V1v,238.61740112304688
102311,lh,3.5,7.0,50,vertical,V1d,234.84727478027344
102311,lh,3.5,7.0,50,vertical,V1v,35.35356521606445
102311,lh,3.5,7.0,50,vertical,V2d,104.8299789428711
102311,lh,3.5,7.0,50,vertical,V2v,0.0
102311,rh,0.0,3.5,10,horizontal,V1d,112.58847045898438
102311,rh,0.0,3.5,10,horizontal,V1v,100.53770446777344
102311,rh,0.0,3.5,10,vertical,V1d,120.11418914794922
102311,rh,0.0,3.5,10,vertical,V1v,73.87916564941406
102311,rh,0.0,3.5,10,vertical,V2d,40.51758575439453
102311,rh,0.0,3.5,10,vertical,V2v,188.28453063964844
102311,rh,0.0,3.5,20,horizontal,V1d,164.26242065429688
102311,rh,0.0,3.5,20,horizontal,V1v,142.07803344726562
102311,rh,0.0,3.5,20,vertical,V1d,139.86181640625
102311,rh,0.0,3.5,20,vertical,V1v,75.72225952148438
102311,rh,0.0,3.5,20,vertical,V2d,43.44783401489258
102311,rh,0.0,3.5,20,vertical,V2v,210.83807373046875
102311,rh,0.0,3.5,30,horizontal,V1d,196.60580444335938
102311,rh,0.0,3.5,30,horizontal,V1v,200.8205108642578
102311,rh,0.0,3.5,30,vertical,V1d,168.1059112548828
102311,rh,0.0,3.5,30,vertical,V1v,102.45608520507812
102311,rh,0.0,3.5,30,vertical,V2d,80.87258911132812
102311,rh,0.0,3.5,30,vertical,V2v,271.11834716796875
102311,rh,0.0,3.5,40,horizontal,V1d,248.58462524414062
102311,rh,0.0,3.5,40,horizontal,V1v,267.4460144042969
102311,rh,0.0,3.5,40,vertical,V1d,197.96815490722656
102311,rh,0.0,3.5,40,vertical,V1v,127.20831298828125
102311,rh,0.0,3.5,40,vertical,V2d,190.4179229736328
102311,rh,0.0,3.5,40,vertical,V2v,355.959228515625
102311,rh,0.0,3.5,50,horizontal,V1d,295.65594482421875
102311,rh,0.0,3.5,50,horizontal,V1v,300.8243408203125
102311,rh,0.0,3.5,50,vertical,V1d,265.9267578125
102311,rh,0.0,3.5,50,vertical,V1v,183.71359252929688
102311,rh,0.0,3.5,50,vertical,V2d,236.4532928466797
102311,rh,0.0,3.5,50,vertical,V2v,403.43939208984375
102311,rh,1.0,6.0,10,horizontal,V1d,94.51175689697266
102311,rh,1.0,6.0,10,horizontal,V1v,78.74413299560547
102311,rh,1.0,6.0,10,vertical,V1d,87.51600646972656
102311,rh,1.0,6.0,10,vertical,V1v,61.988101959228516
102311,rh,1.0,6.0,10,vertical,V2d,61.47037887573242
102311,rh,1.0,6.0,10,vertical,V2v,87.76058959960938
102311,rh,1.0,6.0,20,horizontal,V1d,144.9515380859375
102311,rh,1.0,6.0,20,horizontal,V1v,133.39389038085938
102311,rh,1.0,6.0,20,vertical,V1d,117.8693618774414
102311,rh,1.0,6.0,20,vertical,V1v,68.00994110107422
102311,rh,1.0,6.0,20,vertical,V2d,94.4999771118164
102311,rh,1.0,6.0,20,vertical,V2v,123.37820434570312
102311,rh,1.0,6.0,30,horizontal,V1d,226.10031127929688
102311,rh,1.0,6.0,30,horizontal,V1v,225.30958557128906
102311,rh,1.0,6.0,30,vertical,V1d,141.68084716796875
102311,rh,1.0,6.0,30,vertical,V1v,139.29129028320312
102311,rh,1.0,6.0,30,vertical,V2d,122.86720275878906
102311,rh,1.0,6.0,30,vertical,V2v,186.30706787109375
102311,rh,1.0,6.0,40,horizontal,V1d,293.1236572265625
102311,rh,1.0,6.0,40,horizontal,V1v,310.7662353515625
102311,rh,1.0,6.0,40,vertical,V1d,214.23941040039062
102311,rh,1.0,6.0,40,vertical,V1v,183.03097534179688
102311,rh,1.0,6.0,40,vertical,V2d,247.842041015625
102311,rh,1.0,6.0,40,vertical,V2v,275.9382019042969
102311,rh,1.0,6.0,50,horizontal,V1d,379.92779541015625
102311,rh,1.0,6.0,50,horizontal,V1v,379.49884033203125
102311,rh,1.0,6.0,50,vertical,V1d,297.82073974609375
102311,rh,1.0,6.0,50,vertical,V1v,282.55267333984375
102311,rh,1.0,6.0,50,vertical,V2d,311.7510986328125
102311,rh,1.0,6.0,50,vertical,V2v,315.11968994140625
102311,rh,3.5,7.0,10,horizontal,V1d,131.97836303710938
102311,rh,3.5,7.0,10,horizontal,V1v,16.164283752441406
102311,rh,3.5,7.0,10,vertical,V1d,32.70216751098633
102311,rh,3.5,7.0,10,vertical,V1v,0.0
102311,rh,3.5,7.0,10,vertical,V2d,47.88362503051758
102311,rh,3.5,7.0,10,vertical,V2v,0.0
102311,rh,3.5,7.0,20,horizontal,V1d,164.28761291503906
102311,rh,3.5,7.0,20,horizontal,V1v,61.3348503112793
102311,rh,3.5,7.0,20,vertical,V1d,60.67387771606445
102311,rh,3.5,7.0,20,vertical,V1v,43.84142303466797
102311,rh,3.5,7.0,20,vertical,V2d,59.17329406738281
102311,rh,3.5,7.0,20,vertical,V2v,42.043418884277344
102311,rh,3.5,7.0,30,horizontal,V1d,139.2415008544922
102311,rh,3.5,7.0,30,horizontal,V1v,108.47956848144531
102311,rh,3.5,7.0,30,vertical,V1d,74.38565826416016
102311,rh,3.5,7.0,30,vertical,V1v,86.13706970214844
102311,rh,3.5,7.0,30,vertical,V2d,92.09048461914062
102311,rh,3.5,7.0,30,vertical,V2v,53.75505447387695
102311,rh,3.5,7.0,40,horizontal,V1d,173.44610595703125
102311,rh,3.5,7.0,40,horizontal,V1v,137.0357208251953
102311,rh,3.5,7.0,40,vertical,V1d,110.82988739013672
102311,rh,3.5,7.0,40,vertical,V1v,129.11489868164062
102311,rh,3.5,7.0,40,vertical,V2d,143.94219970703125
102311,rh,3.5,7.0,40,vertical,V2v,69.33600616455078
102311,rh,3.5,7.0,50,horizontal,V1d,165.45761108398438
102311,rh,3.5,7.0,50,horizontal,V1v,156.07156372070312
102311,rh,3.5,7.0,50,vertical,V1d,118.77288818359375
102311,rh,3.5,7.0,50,vertical,V1v,153.93716430664062
102311,rh,3.5,7.0,50,vertical,V2d,174.00656127929688
102311,rh,3.5,7.0,50,vertical,V2v,85.90033721923828
102816,lh,0.0,3.5,10,horizontal,V1d,101.75086975097656
102816,lh,0.0,3.5,10,horizontal,V1v,148.66677856445312
102816,lh,0.0,3.5,10,vertical,V1d,27.398971557617188
102816,lh,0.0,3.5,10,vertical,V1v,76.1499252319336
102816,lh,0.0,3.5,10,vertical,V2d,145.77145385742188
102816,lh,0.0,3.5,10,vertical,V2v,92.28068542480469
102816,lh,0.0,3.5,20,horizontal,V1d,156.27285766601562
102816,lh,0.0,3.5,20,horizontal,V1v,172.68994140625
102816,lh,0.0,3.5,20,vertical,V1d,38.88093948364258
102816,lh,0.0,3.5,20,vertical,V1v,106.36157989501953
102816,lh,0.0,3.5,20,vertical,V2d,181.634033203125
102816,lh,0.0,3.5,20,vertical,V2v,137.52005004882812
102816,lh,0.0,3.5,30,horizontal,V1d,167.72427368164062
102816,lh,0.0,3.5,30,horizontal,V1v,191.6224365234375
102816,lh,0.0,3.5,30,vertical,V1d,71.03536987304688
102816,lh,0.0,3.5,30,vertical,V1v,123.58171844482422
102816,lh,0.0,3.5,30,vertical,V2d,208.6892852783203
102816,lh,0.0,3.5,30,vertical,V2v,175.90316772460938
102816,lh,0.0,3.5,40,horizontal,V1d,196.30557250976562
102816,lh,0.0,3.5,40,horizontal,V1v,179.62164306640625
102816,lh,0.0,3.5,40,vertical,V1d,91.65318298339844
102816,lh,0.0,3.5,40,vertical,V1v,158.56903076171875
102816,lh,0.0,3.5,40,vertical,V2d,239.56878662109375
102816,lh,0.0,3.5,40,vertical,V2v,220.02987670898438
102816,lh,0.0,3.5,50,horizontal,V1d,207.15768432617188
102816,lh,0.0,3.5,50,horizontal,V1v,193.75942993164062
102816,lh,0.0,3.5,50,vertical,V1d,105.30767822265625
102816,lh,0.0,3.5,50,vertical,V1v,189.30099487304688
102816,lh,0.0,3.5,50,vertical,V2d,263.8828430175781
102816,lh,0.0,3.5,50,vertical,V2v,265.52691650390625
102816,lh,1.0,6.0,10,horizontal,V1d,70.80207824707031
102816,lh,1.0,6.0,10,horizontal,V1v,132.03311157226562
102816,lh,1.0,6.0,10,vertical,V1d,20.346172332763672
102816,lh,1.0,6.0,10,vertical,V1v,138.27871704101562
102816,lh,1.0,6.0,10,vertical,V2d,113.87407684326172
102816,lh,1.0,6.0,10,vertical,V2v,168.44305419921875
102816,lh,1.0,6.0,20,horizontal,V1d,150.03836059570312
102816,lh,1.0,6.0,20,horizontal,V1v,182.65847778320312
102816,lh,1.0,6.0,20,vertical,V1d,27.633350372314453
102816,lh,1.0,6.0,20,vertical,V1v,143.30227661132812
102816,lh,1.0,6.0,20,vertical,V2d,120.65190887451172
102816,lh,1.0,6.0,20,vertical,V2v,180.49639892578125
102816,lh,1.0,6.0,30,horizontal,V1d,209.95791625976562
102816,lh,1.0,6.0,30,horizontal,V1v,273.8880615234375
102816,lh,1.0,6.0,30,vertical,V1d,54.83686447143555
102816,lh,1.0,6.0,30,vertical,V1v,158.62933349609375
102816,lh,1.0,6.0,30,vertical,V2d,144.59022521972656
102816,lh,1.0,6.0,30,vertical,V2v,217.6318359375
102816,lh,1.0,6.0,40,horizontal,V1d,266.05657958984375
102816,lh,1.0,6.0,40,horizontal,V1v,301.354736328125
102816,lh,1.0,6.0,40,vertical,V1d,85.89505767822266
102816,lh,1.0,6.0,40,vertical,V1v,168.438720703125
102816,lh,1.0,6.0,40,vertical,V2d,206.37635803222656
102816,lh,1.0,6.0,40,vertical,V2v,222.97860717773438
102816,lh,1.0,6.0,50,horizontal,V1d,274.8765563964844
102816,lh,1.0,6.0,50,horizontal,V1v,438.6044921875
102816,lh,1.0,6.0,50,vertical,V1d,108.37852478027344
102816,lh,1.0,6.0,50,vertical,V1v,237.90243530273438
102816,lh,1.0,6.0,50,vertical,V2d,248.3106689453125
102816,lh,1.0,6.0,50,vertical,V2v,261.2649841308594
102816,lh,3.5,7.0,10,horizontal,V1d,33.31283950805664
102816,lh,3.5,7.0,10,horizontal,V1v,82.70762634277344
102816,lh,3.5,7.0,10,vertical,V1d,0.0
102816,lh,3.5,7.0,10,vertical,V1v,93.3756103515625
102816,lh,3.5,7.0,10,vertical,V2d,0.0
102816,lh,3.5,7.0,10,vertical,V2v,233.89962768554688
102816,lh,3.5,7.0,20,horizontal,V1d,75.67668151855469
102816,lh,3.5,7.0,20,horizontal,V1v,103.54643249511719
102816,lh,3.5,7.0,20,vertical,V1d,10.249855041503906
102816,lh,3.5,7.0,20,vertical,V1v,91.55503845214844
102816,lh,3.5,7.0,20,vertical,V2d,66.23442840576172
102816,lh,3.5,7.0,20,vertical,V2v,233.89962768554688
102816,lh,3.5,7.0,30,horizontal,V1d,129.9152374267578
